Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.04125575,-18.5459137,-4.467273712,39.91888428,44.24279344
0.05131675,-18.5459137,-4.467273712,39.91888428,44.24279344
0.06137675,-18.4263916,-4.565954208,39.84100342,44.13258885
0.07143675,-18.4263916,-4.565954208,39.84100342,44.13258885
0.08149675,-18.43878174,-4.343520164,39.9564209,44.21957045
0.09155775,-18.43878174,-4.343520164,39.9564209,44.21957045
0.10161775,-18.44129944,-4.120517731,40.01727295,44.25429161
0.11167775,-18.44129944,-4.120517731,40.01727295,44.25429161
0.12173775,-18.62930298,-4.074392319,39.9666748,44.28302945
0.13179875,-18.62930298,-4.074392319,39.9666748,44.28302945
0.14185875,-18.70591736,-4.102157593,39.96405029,44.31550921
0.15191875,-18.70591736,-4.102157593,39.96405029,44.31550921
0.16197875,-18.65863037,-3.911244392,39.95996094,44.2746067
0.17203975,-18.65863037,-3.911244392,39.95996094,44.2746067
0.18209975,-18.6166687,-3.775413513,40.05725098,44.33302896
0.19215975,-18.6166687,-3.775413513,40.05725098,44.33302896
0.20221975,-18.57992554,-3.776471138,40.00238037,44.26811271
0.21228075,-18.57992554,-3.776471138,40.00238037,44.26811271
0.22234075,-18.71502686,-3.578821182,40.09118652,44.38877592
0.23240075,-18.42289734,-3.221930504,40.13415527,44.27792229
0.2424614583,-18.42289734,-3.221930504,40.13415527,44.27792229
0.2525224583,-18.44320679,-3.253774643,40.24584961,44.38994635
0.2625824583,-18.44320679,-3.253774643,40.24584961,44.38994635
0.2726424583,-18.48887634,-3.125061989,40.05371094,44.22560707
0.2827034583,-18.48887634,-3.125061989,40.05371094,44.22560707
0.2927634583,-18.22724915,-3.106948853,40.12792969,44.18298862
0.3028234583,-18.22724915,-3.106948853,40.12792969,44.18298862
0.3128834583,-18.15948486,-2.923830986,40.36804199,44.36095685
0.3229444583,-18.15948486,-2.923830986,40.36804199,44.36095685
0.3330044583,-18.01429749,-2.822624207,40.1149292,44.06460786
0.3430644583,-18.01429749,-2.822624207,40.1149292,44.06460786
0.3531244583,-18.11395264,-2.694009781,40.34301758,44.30498884
0.3631854583,-18.11395264,-2.694009781,40.34301758,44.30498884
0.3732454583,-18.39074707,-2.631058693,40.30639648,44.38183914
0.3833054583,-18.39074707,-2.631058693,40.30639648,44.38183914
0.3933654583,-18.27438354,-2.474024773,40.29797363,44.31704606
0.4034264583,-18.27438354,-2.474024773,40.29797363,44.31704606
0.4134864583,-18.14031982,-2.431537628,40.39007568,44.34345264
0.4235464583,-18.14031982,-2.431537628,40.39007568,44.34345264
0.4336064583,-18.13279724,-2.489707947,40.17205811,44.14511563
0.4436674583,-18.09573364,-2.568368912,40.26525879,44.21926232
0.4537274583,-18.09573364,-2.568368912,40.26525879,44.21926232
0.4637874583,-18.06752014,-2.52819252,40.10998535,44.06402122
0.4738474583,-18.06752014,-2.52819252,40.10998535,44.06402122
0.4839084583,-17.86325073,-2.465788841,40.54058838,44.37020563
0.4939684583,-17.86325073,-2.465788841,40.54058838,44.37020563
0.5040284583,-17.89485168,-2.246873856,40.18865967,44.05000028
0.5140884583,-17.89485168,-2.246873856,40.18865967,44.05000028
0.5241494583,-17.90464783,-2.288785934,40.45184326,44.29634949
0.5342094583,-17.90464783,-2.288785934,40.45184326,44.29634949
0.5442694583,-17.95907593,-2.291422844,40.40057373,44.27172218
0.5543294583,-17.95907593,-2.291422844,40.40057373,44.27172218
0.5643904583,-17.86921692,-2.234379768,40.33886719,44.17607466
0.5744504583,-17.86921692,-2.234379768,40.33886719,44.17607466
0.5845104583,-17.74217224,-2.529083252,40.3649292,44.16456099
0.5945704583,-17.74217224,-2.529083252,40.3649292,44.16456099
0.6046314583,-17.52964783,-2.499609947,40.35058594,44.06479761
0.6146914583,-17.52964783,-2.499609947,40.35058594,44.06479761
0.6247514583,-17.72309875,-2.361004829,40.47753906,44.250579
0.6348114583,-17.72309875,-2.361004829,40.47753906,44.250579
0.6448724583,-17.86682129,-2.368758202,40.37567139,44.21571167
0.6549324583,-17.86682129,-2.368758202,40.37567139,44.21571167
0.6649924583,-17.93722534,-2.545560837,40.4362793,44.30932877
0.6750524583,-18.00331116,-2.716575623,40.35821533,44.27510068
0.6851134583,-18.00331116,-2.716575623,40.35821533,44.27510068
0.6951734583,-18.13345337,-3.287596703,40.27008057,44.28667759
0.7052334583,-18.13345337,-3.287596703,40.27008057,44.28667759
0.7152934583,-18.10862732,-3.673080444,40.03863525,44.09655561
0.7253544583,-18.10862732,-3.673080444,40.03863525,44.09655561
0.7354144583,-18.3939209,-3.981347084,40.01226807,44.21729352
0.7454744583,-18.3939209,-3.981347084,40.01226807,44.21729352
0.7555354583,-18.68284607,-4.405162811,39.63580322,44.03919951
0.7655954583,-18.68284607,-4.405162811,39.63580322,44.03919951
0.7756554583,-18.94314575,-4.941845894,39.54278564,44.12365022
0.7857154583,-18.94314575,-4.941845894,39.54278564,44.12365022
0.7957764583,-19.08502197,-5.826144218,39.6619873,44.39882045
0.8058364583,-19.08502197,-5.826144218,39.6619873,44.39882045
0.8158964583,-18.9090271,-6.036751747,39.68133545,44.36893125
0.8259564583,-18.9090271,-6.036751747,39.68133545,44.36893125
0.8360174583,-18.74116516,-6.158957481,39.61706543,44.25693055
0.8460774583,-18.74116516,-6.158957481,39.61706543,44.25693055
0.8561374583,-18.4384613,-6.148073196,39.70855713,44.21023828
0.8661974583,-18.4384613,-6.148073196,39.70855713,44.21023828
0.8762584583,-18.67126465,-5.750753403,39.95947266,44.47973407
0.8863184583,-18.67126465,-5.750753403,39.95947266,44.47973407
0.8963784583,-18.59111023,-5.349140167,39.84649658,44.29431081
